,US,Germany,Italy,Russia,Iran,Spain,France,United Kingdom,Brazil
71,1423727.0,172576.0,211938,370680.0,103135.0,228030.0,177547.0,218895.0,347398.0
72,1449027.0,173171.0,213013,379051.0,104691.0,228691.0,178349.0,222195.0,363211.0
73,1474128.0,174098.0,214457,387623.0,106220.0,229540.0,178184.0,224813.0,374898.0
74,1493132.0,174478.0,215858,396575.0,107603.0,230183.0,178994.0,227334.0,391222.0
75,1514901.0,175233.0,217185,405843.0,109286.0,230698.0,179630.0,229406.0,411821.0
76,1535350.0,175752.0,218268,414328.0,110767.0,230698.0,179630.0,231232.0,438238.0
77,1558971.0,176369.0,219070,423186.0,112725.0,231606.0,179693.0,233809.0,465166.0
78,1584512.0,176551.0,219814,431715.0,114533.0,232037.0,180051.0,236867.0,498440.0
79,1608653.0,177778.0,221216,440538.0,116635.0,232555.0,180933.0,239579.0,514849.0
80,1630476.0,178473.0,222104,449256.0,118392.0,233037.0,181700.0,242133.0,526447.0
81,1651289.0,179021.0,223096,458102.0,120198.0,234824.0,181951.0,244174.0,555383.0
82,1670280.0,179710.0,223885,467073.0,122492.0,235290.0,182354.0,245682.0,584016.0
83,1689163.0,179986.0,224760,476043.0,124603.0,235772.0,182694.0,247037.0,614941.0
84,1707445.0,180328.0,225435,484630.0,126949.0,235400.0,182709.0,248650.0,645771.0
85,1730260.0,180600.0,225886,493023.0,129341.0,236259.0,183067.0,250309.0,672846.0
86,1754764.0,181200.0,226699,501800.0,131652.0,236259.0,182847.0,252118.0,691758.0
87,1778995.0,181524.0,227364,510761.0,133521.0,237906.0,183038.0,253854.0,707412.0
88,1799124.0,182196.0,228006,519458.0,135701.0,238564.0,186364.0,255362.0,739503.0
89,1816479.0,182922.0,228658,528267.0,137724.0,239228.0,186923.0,256469.0,772416.0
90,1837374.0,183189.0,229327,536484.0,139511.0,239479.0,188752.0,257539.0,802828.0
91,1857332.0,183410.0,229858,544725.0,141591.0,239638.0,189009.0,258983.0,828810.0
92,1878683.0,183594.0,230158,552549.0,143849.0,239932.0,189348.0,260453.0,850514.0
93,1903907.0,183879.0,230555,560321.0,146668.0,240326.0,188582.0,261802.0,867624.0
94,1926639.0,184121.0,231139,568292.0,148950.0,240660.0,188934.0,263040.0,888271.0
95,1944370.0,184472.0,231732,576162.0,151466.0,240978.0,189701.0,264150.0,923189.0
96,1961785.0,184924.0,232248,583879.0,154445.0,241310.0,190312.0,264944.0,955377.0
97,1979912.0,185450.0,232664,591465.0,157562.0,241550.0,190891.0,265662.0,978142.0
98,2000706.0,185750.0,232997,598878.0,160696.0,241717.0,191234.0,266756.0,1032913.0
99,2023656.0,186109.0,233197,606043.0,164270.0,241966.0,191445.0,267915.0,1067579.0
100,2048986.0,186506.0,233515,613148.0,167156.0,242280.0,191849.0,269101.0,1083341.0
101,2074542.0,186522.0,233836,619936.0,169425.0,242707.0,192394.0,270108.0,1106470.0
102,2094366.0,186691.0,234013,626779.0,171789.0,243209.0,192819.0,271162.0,1145906.0
103,2114026.0,187226.0,234531,633563.0,173832.0,243605.0,193546.0,272050.0,1188631.0
104,2137731.0,187267.0,234801,640246.0,175927.0,243928.0,194072.0,272857.0,1228114.0
105,2163290.0,187518.0,234998,646929.0,177938.0,244109.0,194479.0,273888.0,1274974.0
106,2191099.0,187682.0,235278,653479.0,180156.0,244328.0,194631.0,274971.0,1313667.0
107,2222579.0,188252.0,235561,660231.0,182525.0,244683.0,194975.0,275970.0,1344143.0
